GO_ID,SPECIES,local_cc_10,edges_10
GO_0007155,DM,0.062987845,0.182195217
GO_0007163,DM,0.156837767,0.213756697
GO_0007568,DM,0.157426612,0.148112973
GO_0008361,DM,-0.201866612,-0.196027887
GO_0009295,DM,0,0
GO_0012501,DM,0.045837231,0.040022321
GO_0015979,DM,0,0
GO_0016071,DM,0.24594662,0.284980948
GO_0016073,DM,0.247636788,0.222583872
GO_0016192,DM,0.233339305,0.357196849
GO_0022414,DM,0.099893415,0.121275917
GO_0022600,DM,0,0
GO_0023052,DM,0.0795207,0.091991163
GO_0030154,DM,-0.045130569,-0.026192336
GO_0030163,DM,0.234858595,0.276557673
GO_0030198,DM,0.058252262,0.178869185
GO_0031047,DM,0.082000326,0.228355002
GO_0032200,DM,0.254169501,0.356762144
GO_0034330,DM,0.124984171,0.097807642
GO_0036211,DM,-0.065858192,0.001259887
GO_0042060,DM,0.045693081,-0.002672846
GO_0042254,DM,0.346926697,0.347756298
GO_0044782,DM,0.487012634,0.646077908
GO_0048856,DM,0.009565487,0.022091417
GO_0048870,DM,0.143274461,0.155804261
GO_0050877,DM,0.116105808,0.095220645
GO_0050886,DM,0,0
GO_0051301,DM,0.135360985,0.229893189
GO_0051604,DM,0.29259906,0.26683107
GO_0051726,DM,0.317938613,0.332971899
GO_0055065,DM,0.345034868,0.427759454
GO_0055085,DM,0.148984684,0.174711098
GO_0055086,DM,0.136325188,0.291096579
GO_0061007,DM,0,0
GO_0061024,DM,0.150935111,0.117603937
GO_0065003,DM,0.095887627,0.1384479
GO_0071554,DM,0,0
GO_0071941,DM,0,0
GO_0072659,DM,-0.114902421,-0.268978601
GO_0098542,DM,-0.018492441,0.053491169
GO_0098754,DM,0.160291824,0.351547858
GO_0140013,DM,0.272273554,0.464475145
GO_0140014,DM,0.274253393,0.421366234
GO_0140053,DM,-0.102897854,-0.076598937
GO_1901135,DM,0.185174163,0.288191463
GO_0000278,DR,0.289133075,0.37220851
GO_0000502,DR,0.647253579,0.333200949
GO_0000902,DR,0.107050777,0.105241032
GO_0000910,DR,0.152566447,0.183409823
GO_0002181,DR,0.305300787,0.29116485
GO_0002376,DR,0.018622827,-0.004330711
GO_0003012,DR,0.078844674,0.154134153
GO_0003013,DR,-0.026183857,-0.016935705
GO_0003014,DR,-0.125178987,-0.123004987
GO_0003016,DR,0,0
GO_0005975,DR,0.118061664,0.250927372
GO_0006091,DR,0.424832131,0.494891073
GO_0006099,DR,0.294919375,0.187526476
GO_0006259,DR,0.243557469,0.418217448
GO_0006260,DR,0.179906713,0.346837281
GO_0006281,DR,0.294464189,0.406457341
GO_0006310,DR,0.244895124,0.364260925
GO_0006325,DR,0.111816248,0.210644411
GO_0006351,DR,0.412133144,0.445030809
GO_0006355,DR,0.188404189,0.194726875
GO_0006399,DR,-0.113303754,0.039434029
GO_0006412,DR,0.289549571,0.357017013
GO_0006457,DR,0.09015261,0.168862304
GO_0006486,DR,0.128569592,0.230179212
GO_0006520,DR,0.091229063,0.119038849
GO_0006575,DR,0.082656616,0.204521979
GO_0006629,DR,0.1193102,0.167715535
GO_0006766,DR,-0.02443032,0.097628615
GO_0006790,DR,0.300009815,0.356156469
GO_0006886,DR,0.232206233,0.298531516
GO_0006913,DR,0.285217187,0.250237122
GO_0006914,DR,0.352063296,0.407826845
GO_0006954,DR,-0.042758878,-0.069829904
GO_0007005,DR,0.20357068,0.297249914
