name,local_cc_10,edges_10
GO_0007163_SC,0.158895626,0.091136188
GO_0005975_DM,0.047521894,0.202971746
GO_0031047_AT,0.102240531,0.14857234
GO_0000902_CE,0.117787735,0.136744763
GO_0006457_DR,0.09015261,0.168862304
GO_0051604_CE,0.121782653,0.139629751
GO_0006575_HS,0.106233224,0.155475164
GO_0007040_DM,0.105635508,0.158253086
GO_0007568_HS,0.115918406,0.148208699
GO_0061024_SC,0.116798458,0.14774692
GO_0007163_SP,0.121859915,0.142919372
GO_0006457_AT,0.101925041,0.164640975
GO_0061024_DM,0.150935111,0.117603937
GO_0000902_DM,0.114976589,0.155805798
GO_0065003_HS,0.136294788,0.135905215
GO_0022414_HS,0.140375777,0.143986094
GO_0055086_AT,0.078506034,0.207419876
GO_0002376_AT,0.126568973,0.15998583
GO_0006629_DR,0.1193102,0.167715535
GO_0006099_CE,0.211847353,0.075204201
GO_0006575_DR,0.082656616,0.204521979
GO_0055065_SC,0.110892549,0.18042273
GO_0042060_DR,0.159382522,0.133663302
GO_0030198_CE,0.123934367,0.169392192
GO_0036211_HS,0.130715468,0.163037576
GO_0032200_DR,0.098289396,0.195859026
GO_0003013_DM,0.059331723,0.2364521
GO_0051604_AT,0.166137259,0.131233683
GO_0048870_DM,0.143274461,0.155804261
GO_0098542_CE,0.12526197,0.174582687
GO_0012501_HS,0.17968183,0.122046083
GO_0051726_SP,0.050633182,0.252714807
GO_0007568_DM,0.157426612,0.148112973
GO_0051604_SP,0.117241069,0.188938055
GO_0006091_CE,0.135527705,0.173486668
GO_0031047_DM,0.082000326,0.228355002
GO_0030154_AT,0.12221465,0.188232355
GO_0006099_DM,0.183553609,0.127467978
GO_0006790_DM,0.151351377,0.160461904
GO_0015979_AT,0.186449495,0.127112645
GO_0016073_HS,0.235545296,0.078666436
GO_0036211_SP,0.157501723,0.156799348
GO_0055086_SC,0.136559,0.180140927
GO_0023052_SP,0.148175942,0.169358008
GO_0006886_SC,0.188837398,0.131884076
GO_0006325_DR,0.111816248,0.210644411
GO_0055085_DM,0.148984684,0.174711098
GO_0055085_DR,0.171165906,0.15903317
GO_0007059_AT,0.195679035,0.136550758
GO_0061024_HS,0.167952583,0.167648817
GO_0000910_DR,0.152566447,0.183409823
GO_0006886_DM,0.183884041,0.153058529
GO_0006520_SC,0.152495983,0.187626004
GO_0034330_DR,0.193166998,0.148281603
GO_0140053_CE,0.170602507,0.173684778
GO_0000502_CE,0.280782748,0.06447396
GO_0006399_SP,0.13336293,0.215378727
GO_0006886_SP,0.216261529,0.133917762
GO_0055086_DR,0.175471004,0.179239776
GO_0098542_AT,0.177823843,0.17742588
GO_0006486_DR,0.128569592,0.230179212
GO_0016071_CE,0.169959075,0.193453405
GO_0006913_DM,0.076012254,0.287419713
GO_0006457_CE,0.168814657,0.196428987
GO_0051301_DM,0.135360985,0.229893189
GO_0006790_HS,0.189027165,0.176771354
GO_0034330_CE,0.170584652,0.196891894
GO_0002376_CE,0.164014716,0.203952515
GO_0007040_CE,0.200829597,0.167956491
GO_0005975_DR,0.118061664,0.250927372
GO_0007163_DM,0.156837767,0.213756697
GO_0007005_CE,0.154128342,0.221867714
GO_0032200_CE,0.240479671,0.1371096
GO_0006412_DM,0.174475932,0.205415536
GO_0006355_SP,0.137612234,0.245439246
GO_0006355_DR,0.188404189,0.194726875
GO_0048856_AT,0.193170282,0.191662486
GO_0006399_AT,0.111212117,0.274924793
GO_0006399_SC,0.141656595,0.244967169
GO_0006790_SP,0.232037994,0.155731204
GO_0000278_AT,0.208145455,0.179876669
GO_0000910_CE,0.117793349,0.270436719
GO_0055065_SP,0.124329024,0.264858977
GO_0006486_CE,0.118197321,0.271342846
GO_0061024_SP,0.131819474,0.25820767
GO_0140053_SC,0.191260464,0.205100126
GO_0061024_DR,0.16175041,0.236311585
GO_0042254_DR,0.166445737,0.231741525
GO_1901135_SC,0.195443818,0.203759462
GO_0006790_SC,0.218566061,0.180833158
GO_0000902_AT,0.171441342,0.22913116
GO_0006766_SP,0.167854438,0.233636896
GO_0055065_DR,0.181811231,0.222544806
GO_0065003_CE,0.167845103,0.237455957
GO_0009295_HS,0.147032318,0.258662454
GO_0051604_DR,0.21762257,0.193289266
GO_0006629_SP,0.195861813,0.218693458
GO_0006310_CE,0.177207738,0.237861085
GO_0030163_DR,0.166837448,0.249135853
GO_0030163_CE,0.150355668,0.270428705
GO_0006790_CE,0.158632919,0.266147202
GO_0006412_CE,0.206500637,0.219115939
GO_0055086_DM,0.136325188,0.291096579
GO_0055086_CE,0.211857187,0.217133016
GO_0007059_HS,0.122639637,0.306877884
GO_1901135_HS,0.223396555,0.206143908
GO_0051604_SC,0.231128404,0.19888751
GO_0006520_DM,0.175416079,0.255440275
GO_0016073_DR,0.19310921,0.238764323
GO_0051301_SC,0.199449818,0.233102012
GO_1901135_SP,0.188987134,0.244802266
GO_0030163_AT,0.185120927,0.249529769
GO_1901135_DR,0.191382605,0.244415942
GO_0006457_HS,0.175715186,0.263222816
GO_0051726_HS,0.218624988,0.220809409
GO_0051604_HS,0.23589469,0.205833889
GO_0006629_DM,0.223855035,0.219147133
GO_0055086_SP,0.161698384,0.281557415
GO_0051301_SP,0.15711787,0.288826388
GO_0002181_AT,0.196313189,0.250317472
GO_0022600_DR,0.220304643,0.229138443
GO_0006325_AT,0.163110746,0.286461599
GO_0016071_DR,0.18309926,0.267880625
GO_0006325_CE,0.157569147,0.297541301
GO_0005975_AT,0.166930236,0.291665143
GO_0048870_CE,0.19369575,0.265334833
GO_0007005_DM,0.215443617,0.244962739
GO_0006766_DM,0.210446871,0.250251857
GO_0006520_SP,0.161930646,0.298898067
GO_0007163_CE,0.188124658,0.274045907
GO_0006575_CE,0.172828879,0.289977678
GO_0006520_HS,0.207364064,0.25572062
GO_0016073_DM,0.247636788,0.222583872
GO_0002181_CE,0.244482044,0.226519077
GO_0006629_CE,0.183738096,0.287458984
GO_0007568_CE,0.181133918,0.290776158
GO_0006629_AT,0.197837908,0.274166704
GO_0140053_HS,0.248558358,0.22426131
GO_1901135_DM,0.185174163,0.288191463
GO_0007059_SC,0.192478255,0.286661681
GO_0007059_DR,0.21254661,0.26753655
GO_0006099_DR,0.294919375,0.187526476
